user_label,seed,nclass_user,n_gs,weight,color
twtunes,0.0,3791,0,1.0,#A00276
laverami,0.0,3748,0,1.0,#9FDF1D
Melina_t,0.0,3741,0,1.0,#2076C3
EEZuidema,0.0,3575,0,1.0,#265A50
MaudScientist,0.0,3123,0,1.0,#C8465F
ARTUROnunez,0.0,2903,0,1.0,#7DE612
mwwm,0.0,2504,0,1.0,#7119C3
G.Roddenberry,0.0,2438,0,1.0,#846BCA
ShyBay,0.0,2306,0,1.0,#BF994E
graham_d,0.0,2149,0,1.0,#083729
buitrilius,0.0,2005,0,1.0,#6B4584
atmega8,0.0,2005,0,1.0,#19DECF
Chriscav,0.0,1887,0,1.0,#2BB02C
voyager168,0.0,1875,0,1.0,#329EDB
cstrauss31,0.0,1779,0,1.0,#9D6C46
JahldeVautban,0.0,1658,0,1.0,#245B91
infini7y,0.0,1533,0,1.0,#4816E3
Robert-in-Australia,0.0,1508,0,1.0,#5BCB34
konakid,0.0,1462,0,1.0,#AF781C
analia,0.0,1295,0,1.0,#39BF00
nilium,0.0,1250,0,1.0,#A4A80C
R.L.H.,0.0,1240,0,1.0,#8B8AB7
ruprechtludwig,0.0,1140,0,1.0,#96E25C
Heinz01199882,0.0,1103,0,1.0,#800474
stellarjay,0.0,1083,0,1.0,#C96AE0
m.franco,0.0,1062,0,1.0,#1E6A99
AUK,0.0,1018,0,1.0,#91C49A
tomudding,0.0,1012,0,1.0,#BB1661
dc4461,0.0,987,0,1.0,#FDE6B5
GPR,0.0,973,0,1.0,#8C9627
lekshmy,0.0,949,0,1.0,#131795
planetari7,0.0,898,0,1.0,#40E160
mitch,0.0,816,0,1.0,#AD41E4
Chris188,0.0,803,0,1.0,#C66A0F
lord_oles,0.0,775,0,1.0,#FAA44F
Migratorius,0.0,764,0,1.0,#482B6B
ElisabethB,0.0,755,0,1.0,#EB3066
agbenson,0.0,722,0,1.0,#6228A3
jacrypto,0.0,696,0,1.0,#83A4B7
Caz159,0.0,695,0,1.0,#CBD1B1
olbo,0.0,650,0,1.0,#A292D0
rob59w,0.0,622,0,1.0,#3C2746
fnogal,0.0,600,0,1.0,#EAF45D
Dolorous_Edd,0.0,563,0,1.0,#D5B248
XolotI,0.0,545,0,1.0,#2C885B
TaxiCab1729,0.0,539,0,1.0,#BF8A92
Lportante,0.0,537,0,1.0,#A34EBE
Finger,0.0,535,0,1.0,#F5BBA7
edmistja,0.0,515,0,1.0,#6CF7AD
marinasycheva,0.0,488,0,1.0,#082A26
leonie_van_vliet,0.0,482,0,1.0,#D26B2A
amateurleisure,0.0,481,0,1.0,#9EEB58
NYoung4150,0.0,480,0,1.0,#5CB7EE
maksymw,0.0,478,0,1.0,#688EF8
Missybee35,0.0,458,0,1.0,#A44891
jane_doe,0.0,437,0,1.0,#485617
MamaykaUA,0.0,430,0,1.0,#275830
klok46,0.0,426,0,1.0,#87EBD4
Roger_C,0.0,424,0,1.0,#563084
worachate,0.0,418,0,1.0,#FC798D
mf-nigreen,0.0,401,0,1.0,#55CEF0
Ausdennis,0.0,398,0,1.0,#C1E20E
TX_believer,0.0,393,0,1.0,#99D197
GrahamGFree,0.0,386,0,1.0,#E71259
iowapipe,0.0,382,0,1.0,#7D0410
mlose,0.0,380,0,1.0,#28CB82
jfroberts36,0.0,378,0,1.0,#816BDF
MeDUS_11M,0.0,368,0,1.0,#E0E904
tiffany.lousignont,0.0,368,0,1.0,#9A8823
Minamamalist,0.0,364,0,1.0,#A54A50
Sullivan-Shaw,0.0,363,0,1.0,#108300
ArcticMonkeys,0.0,363,0,1.0,#82EDC7
tanyqa,0.0,361,0,1.0,#80F476
morticia365,0.0,361,0,1.0,#9FAB7C
AuRora7283,0.0,355,0,1.0,#C39E25
jsrchrt,0.0,353,0,1.0,#024B51
jdemers,0.0,347,0,1.0,#4DF6CA
javegalo,0.0,347,0,1.0,#55E8DE
mikedyke,0.0,342,0,1.0,#15ADC9
maddendd,0.0,342,0,1.0,#22E720
shocko61,0.0,341,0,1.0,#0CDC25
PeterJ8,0.0,339,0,1.0,#A7EAC7
zero_mostel,0.0,335,0,1.0,#08C3EA
FalaHomma,0.0,313,0,1.0,#4BC04C
Andr9,0.0,311,0,1.0,#8231AF
john_murrell,0.0,305,0,1.0,#E0151A
albino.carbognani,0.0,304,0,1.0,#21F8E4
planetaryscience,0.0,303,0,1.0,#8783BC
aussiegoodstuff,0.0,299,0,1.0,#C72992
Recoil_x,0.0,295,0,1.0,#891BE0
1987andrei,0.0,294,0,1.0,#3DBDEB
Michael_B,0.0,293,0,1.0,#BC33C6
OleksiiUA,0.0,291,0,1.0,#88ABAD
Helori,0.0,282,0,1.0,#FA156B
Nu-z-Gliwic,0.0,281,0,1.0,#3C2E75
brandonkim22,0.0,280,0,1.0,#C305B3
insert_name,0.0,279,0,1.0,#95D351
not-logged-in-73326de7710b587072f0_432229c023fef912a9e1abc9ae67707041472097efe1017b28d6f0538fcd3608,0.0,273,0,1.0,#949494
snhammes,0.0,268,0,1.0,#43433A
Tmit2,0.0,267,0,1.0,#DBCC20
vjgp,0.0,263,0,1.0,#6669D9
Dr_Wayne,0.0,262,0,1.0,#F2FCD6
GaryGM,0.0,258,0,1.0,#A541A5
dramlee,0.0,256,0,1.0,#746A81
ken412,0.0,254,0,1.0,#02EEA3
mendocinosunrise,0.0,251,0,1.0,#4EE4A1
hermesp,0.0,250,0,1.0,#E023DB
vanrock70,0.0,250,0,1.0,#1AC5DF
equidad1,0.0,245,0,1.0,#448006
QueQuadi,0.0,244,0,1.0,#29C534
THIRTYFATHOMGRAVE,0.0,243,0,1.0,#4E09BD
kovic-1,0.0,238,0,1.0,#E38960
7475,0.0,237,0,1.0,#295C53
renastro,0.0,237,0,1.0,#09EE42
Rtk11226,0.0,235,0,1.0,#8E8865
AntoniM,0.0,234,0,1.0,#2512B0
Jmabel,0.0,233,0,1.0,#198A8A
EduardoCarneiro,0.0,230,0,1.0,#E75359
Ronax_Far,0.0,230,0,1.0,#060719
Stubbik,0.0,227,0,1.0,#BA1B98
KCILON,0.0,226,0,1.0,#678E5C
tituspro,0.0,226,0,1.0,#0A8BCA
andsul,0.0,224,0,1.0,#91D53B
wawaw,0.0,222,0,1.0,#BE1DD0
mikerelay,0.0,220,0,1.0,#8BA86F
poligeek,0.0,214,0,1.0,#6048E5
SeppoH,0.0,213,0,1.0,#7CF9C8
nektons,0.0,207,0,1.0,#736741
guru2743,0.0,207,0,1.0,#2F993C
astro.c.r.,0.0,204,0,1.0,#A6CD78
BatKwak,0.0,204,0,1.0,#0EDE26
jargoetz,0.0,203,0,1.0,#984BE1
ceperman,0.0,203,0,1.0,#AAA743
pavon,0.0,200,0,1.0,#F91F69
mpc952,0.0,199,0,1.0,#160633
Interestellar,0.0,197,0,1.0,#482D26
