user_label,seed,nclass_user,n_gs,weight,color
EEZuidema,0,7135,0,1,#98EA15
voyager168,0,5603,0,1,#B3205E
hermesp,0,4849,0,1,#B87BE3
G.Roddenberry,0,4275,0,1,#D75FB6
MGriffin19,0,4188,0,1,#E8AA1E
graham_d,0,4179,0,1,#336FB2
Dolorous_Edd,0,4123,0,1,#A2FA97
ElisabethB,0,3846,0,1,#C99B9E
Chriscav,0,3344,0,1,#E0F711
nilium,0,3158,0,1,#934335
cstrauss31,0,2811,0,1,#B626F7
SearcherPG,0,2683,0,1,#2CBAF5
konakid,0,2388,0,1,#B8D10C
CynicalStranger,0,2248,0,1,#A0A93D
Sovanacharya,0,2023,0,1,#8B55FB
mpc952,0,1891,0,1,#E4D8C4
Bonebiddy,0,1885,0,1,#84C55A
ShyBay,0,1824,0,1,#96F9A2
ntime60,0,1809,0,1,#976BE1
planetari7,0,1763,0,1,#C5F5FE
vjgp,0,1685,0,1,#D902B0
SaraGR,0,1678,0,1,#9B679C
maksymw,0,1600,0,1,#7A9197
Busterc48,0,1444,0,1,#03212A
AUK,0,1432,0,1,#2D4E1E
Henri-Levich,0,1362,0,1,#00F7B9
ruprechtludwig,0,1265,0,1,#F3892E
GPR,0,1260,0,1,#BFCB26
Melina_t,0,1197,0,1,#FDFAF6
twtunes,0,1179,0,1,#995D67
marius_aga,0,1153,0,1,#A0C199
mf-nigreen,0,1106,0,1,#725890
leonie_van_vliet,0,1073,0,1,#D28836
AsteroidfinderfromOrel,0,1015,0,1,#825D9C
m.franco,0,919,0,1,#7744B0
aboyd7745,0,822,0,1,#9BD8F0
lekshmy,0,821,0,1,#B34FB8
jsrchrt,0,707,0,1,#40A9A3
DesseFrem,0,702,0,1,#C4E27D
pinkat,0,635,0,1,#3C8B11
Rot,0,623,0,1,#AAC849
JeanNimes,0,621,0,1,#D1F5CA
Sonjadup,0,603,0,1,#6D86E3
dalquizaleth,0,580,0,1,#46A9D9
UNUM,0,543,0,1,#6CD3B3
jacrypto,0,538,0,1,#BB5B93
Wounded_Knee,0,510,0,1,#429CC6
WEBs_in_space,0,484,0,1,#0736A9
polanski,0,481,0,1,#362644
highc51239,0,463,0,1,#7E7C07
Willitte,0,463,0,1,#E42AC0
PaSmith,0,446,0,1,#695D6C
shotguna,0,435,0,1,#8C6C1A
Tabitha-Anne,0,430,0,1,#F6A96D
7475,0,425,0,1,#EC843E
Dinosson,0,417,0,1,#F815FB
agbenson,0,411,0,1,#C552B6
fpailler,0,405,0,1,#7E15C9
Meanjean4321,0,396,0,1,#B051EF
starbug15,0,383,0,1,#0775D3
canopus228,0,365,0,1,#52215E
barrett.anna,0,362,0,1,#85731F
xopek,0,354,0,1,#E64291
mendocinosunrise,0,343,0,1,#7995CA
Ausdennis,0,343,0,1,#7C6D07
Tigertigerburningbright,0,340,0,1,#D6EFFF
Nu-z-Gliwic,0,338,0,1,#59B542
southstar33,0,333,0,1,#206F21
Oaksl,0,328,0,1,#F830B1
Tmit2,0,324,0,1,#2C0037
tanya.ovramenko,0,304,0,1,#39E153
stellarjay,0,299,0,1,#CCED4F
not-logged-in-fc3100110b17e3001716_459f184c2324165d8874f05bd46e350a69ac1c476ffbd6ba696ce48a14357a13,0,292,0,1,#7C7C7C
dramlee,0,275,0,1,#4AC5B4
rosemarybillington,0,272,0,1,#596103
TaxiCab1729,0,272,0,1,#4D7680
CommanderShepard2154,0,267,0,1,#14D651
not-logged-in-2da9b79fb2f55495fc1c_56905d9197f735df12c38d753bf802cb5ab6702cf8a664d40c4c20e402ad7582,0,267,0,1,#616161
stardust2357,0,263,0,1,#EBC23F
vanrock70,0,262,0,1,#BEBEBB
not-logged-in-de4ce0f0cdabded1a7b7_a4b3b2d6567326e5fb0ff1993dff89ec715f3a7e646b3993bb4b92d4de49653d,0,260,0,1,#7D7D7D
OzFox,0,258,0,1,#E11DD1
ecashel,0,255,0,1,#419B42
Galactic_Wanderer,0,249,0,1,#3057E7
kovic-1,0,246,0,1,#87D075
Turan9510,0,239,0,1,#1D6F84
mitch,0,239,0,1,#426B3A
Heinz01199882,0,233,0,1,#646887
not-logged-in-6ed95675d5df799b155b_d668f927284b4fb582e8f6ec40535eb338328afc2d4d61cc90cbe7a0ba2be954,0,230,0,1,#5C5C5C
ory123,0,228,0,1,#8752E1
not-logged-in-2da9b79fb2f55495fc1c_54350d8ce3fb9961b48cda211c1531f15345d07cbf49993eac53be62364a58b1,0,228,0,1,#898989
Altrmike,0,225,0,1,#3314F3
SirStixxy,0,221,0,1,#53DCA1
DanielTaylor,0,220,0,1,#FD45A9
Fauxwise,0,218,0,1,#8A3242
not-logged-in-2fd24f9d205ac3858261_66f8d608a22581040cf72c327ddb12103a3c5c7e202571f56bb40c5e4e556836,0,218,0,1,#6C6C6C
not-logged-in-7e5b839ed06d10084059_0f98a4da6035ff4ba1fc286f5f52ebbf149e3ccea487ff884393299a84a6ab1c,0,214,0,1,#3B3B3B
dreaming.s,0,214,0,1,#B3635F
elisad,0,210,0,1,#4814FF
riiibu,0,208,0,1,#D08239
aussiegoodstuff,0,208,0,1,#739CA4
not-logged-in-0b9cc85e20226525b6e2_c304149a4ca673b440928b53d0bfb1b086dc63ac3d2601adc55af6fa83183236,0,205,0,1,#5F5F5F
jschulz99,0,203,0,1,#1DF70F
Aleksandr0652,0,203,0,1,#735A60
eperozzi,0,202,0,1,#9800D4
Santanu_basu,0,196,0,1,#578D56
Sunpriat,0,196,0,1,#DB5604
mynightmare1,0,193,0,1,#FB238C
GrahamGFree,0,192,0,1,#7B34AD
fifiritka,0,188,0,1,#0FEC94
OpaDon,0,187,0,1,#0D5CB1
Missybee35,0,186,0,1,#DFD753
AuRora7283,0,185,0,1,#86E314
not-logged-in-175d419ca1d15b42465b_f30979ba4331ef67945fc75cca35cf1905aff0070e21b75754bbbee2c962c323,0,182,0,1,#767676
